iter	Accuracy	Logloss
443	0.9562289562	0.1715629282
444	0.9562289562	0.1713996135
445	0.9562289562	0.1713643193
446	0.9573512907	0.1712865102
447	0.9573512907	0.1712588109
448	0.9573512907	0.1710447675
449	0.9573512907	0.1710160912
450	0.9573512907	0.1704908842
451	0.9573512907	0.1702026183
452	0.9573512907	0.1701439873
453	0.9573512907	0.1696609668
454	0.9573512907	0.1694726591
455	0.9573512907	0.1694117991
456	0.9573512907	0.1692305267
457	0.9573512907	0.1690673073
458	0.9573512907	0.1687531548
459	0.9573512907	0.1687217468
460	0.9573512907	0.1684545139
461	0.9573512907	0.1679772253
462	0.9573512907	0.1678345261
463	0.9573512907	0.1678112838
464	0.9584736251	0.1673111747
465	0.9584736251	0.1672323881
466	0.9584736251	0.1670541094
467	0.9584736251	0.1667655352
468	0.9584736251	0.1664255015
469	0.9584736251	0.1660855507
470	0.9584736251	0.1658640491
471	0.9584736251	0.1655906382
472	0.9584736251	0.1654672201
473	0.9584736251	0.1651936066
474	0.9584736251	0.1649607942
475	0.9584736251	0.1649133276
476	0.9584736251	0.1648902889
477	0.9584736251	0.1645780507
478	0.9584736251	0.1641867044
479	0.9584736251	0.164034631
480	0.9584736251	0.163702338
481	0.9584736251	0.1634793965
482	0.9584736251	0.1633821256
483	0.9584736251	0.1630892402
484	0.9584736251	0.1626243324
485	0.9584736251	0.1623241652
486	0.9573512907	0.1620138981
487	0.9573512907	0.1615690589
488	0.9584736251	0.1611757649
489	0.9584736251	0.1610210934
490	0.9584736251	0.160959176
491	0.9584736251	0.1608184298
492	0.9584736251	0.1605670825
493	0.9584736251	0.1601093798
494	0.9584736251	0.1600467469
495	0.9584736251	0.1599428578
496	0.9584736251	0.1595885523
497	0.9595959596	0.159068412
498	0.9595959596	0.1587212402
499	0.9595959596	0.1584725881
